ID,Título,Descripción,Fase,Responsable,Estimación,Estado,Criterio Salida,Commit Relacionado
T-001,Crear estructura de carpetas para HU-005,"Crear carpeta hu005/ con subcarpetas: docs/, workflows/, tests/, registro_imagenes_hu-005/. Seguir misma estructura que hu001/",FASE 1: Estructura y Documentación,Developer,1,Nueva,Estructura de carpetas completa con archivos .gitkeep,feat(hu005): crear estructura carpetas y documentación inicial
T-002,Documentar ficha técnica HU-005,"Crear HU-05_FICHA_TECNICA.md con CA en Given/When/Then, inputs/outputs JSON, flujo proceso, manejo errores. Basarse en HU-01_FICHA_TECNICA.md",FASE 1: Estructura y Documentación,Developer + Tester,3,Nueva,Documento completo siguiendo template de HU-01,N/A
T-003,Diseñar criterios de aceptación HU-005,"Definir mínimo 3 CA: CA1-Detección rechazo documentación, CA2-Redacción email corrección, CA3-Envío email al estudiante. Formato Given/When/Then",FASE 1: Estructura y Documentación,Tester,2,Nueva,3 CA documentados medibles y observables,N/A
T-004,Crear casos de prueba detallados HU-005,"Documentar en HU-05_CASOS_PRUEBA.md: mínimo 3 casos por CA (válido/inválido/borde). Incluir datos prueba JSON, valores esperados",FASE 1: Estructura y Documentación,Tester,5,Nueva,Mínimo 9 casos prueba con datos JSON y valores esperados,N/A
T-005,Diseñar workflow n8n para HU-005,"Diseñar flujo: (1)Conectar con HU-004, (2)Detectar error, (3)Redactar email, (4)Enviar email, (5)Registrar log. Nomenclatura estándar: IF-ValidacionDoc, Function-RedactarEmail, Email-Correccion, DB-Log",FASE 2: Diseño e Implementación,Developer,3,Nueva,Diagrama de flujo con nomenclatura estándar,N/A
T-006,Implementar workflow HU-005 en n8n,"Crear HU-005.json con nodos: IF rama error, Function templates email, Email SMTP, Google Sheets logs. Reutilizar credenciales de HU-001",FASE 2: Diseño e Implementación,Developer,8,Nueva,Workflow funcional importable en n8n,feat(hu005): implementar workflow notificación corrección
T-007,Crear templates de emails de corrección,"Diseñar 4 templates: (1)Formato incorrecto-solo PDF, (2)Tamaño excedido-max 10MB, (3)Archivo corrupto, (4)Campos faltantes. Incluir: motivo, instrucciones, link, contacto",FASE 2: Diseño e Implementación,Developer + Tester,5,Nueva,Templates HTML/texto con variables dinámicas,N/A
T-008,Integrar HU-005 con validación HU-004,"Conectar rama error del IF-ValidacionDoc de HU-004 al inicio HU-005. Pasar datos: ID solicitud, email estudiante, tipo error, detalles. Probar flujo HU-001→HU-004→HU-005",FASE 2: Diseño e Implementación,Developer,5,Nueva,Datos pasan correctamente entre workflows,N/A
T-009,Implementar logging en Google Sheets,"Agregar nodo Google Sheets que registre en hoja Logs: timestamp, ID solicitud, tipo_error, email_enviado (sí/no), destinatario. Usar misma estructura que HU-001",FASE 2: Diseño e Implementación,Developer,3,Nueva,Logs se guardan correctamente en Sheets,N/A
T-010,Crear casos de prueba manuales,"Crear tests/casos_prueba_manuales.md con procedimientos paso a paso para: TC5.1-Email formato incorrecto, TC5.2-Email tamaño excedido, TC5.3-Email múltiples errores, TC5.4-Verificar envío, TC5.5-Validar log. Incluir datos entrada, pasos, resultado esperado",FASE 3: Testing y Validación,Tester,3,Nueva,Documento con 5+ casos manuales documentados,docs(hu005): agregar casos prueba manuales
T-011,Documentar manejo de errores HU-005,"Especificar en ficha técnica: error SMTP, error credenciales email, timeout envío, estudiante sin email. Definir acciones: reintento, notificación admin, log detallado",FASE 3: Testing y Validación,Developer + Tester,3,Nueva,Todos escenarios error documentados con acciones,N/A
T-012,Ejecutar pruebas manuales HU-005,"Ejecutar casos manuales de T-010 y documentar resultados en HU-05_RESULTADOS_PRUEBAS.md. Validar: 100% emails enviados, logs registrados, templates correctos, tiempos <10s. Capturar evidencias",FASE 3: Testing y Validación,Tester,5,Nueva,100% casos ejecutados con evidencias capturadas,N/A
T-013,Capturar evidencias visuales workflow,"En registro_imagenes_hu-005/ guardar: (1)diagrama_workflow.png, (2)nodos_configurados.png, (3)ejemplo_email_enviado.png, (4)logs_sheets.png, (5)ejecucion_exitosa.png con descripciones",FASE 3: Testing y Validación,Developer + Tester,2,Nueva,Mínimo 5 capturas con descripciones,N/A
